,n,m,k_avg,edge_length_total,edge_length_avg,streets_per_node_avg,intersection_count,street_length_total,street_segment_count,street_length_avg,circuity_avg,self_loop_proportion,node_density_km,intersection_density_km,edge_density_km,street_density_km,0way_int_count,1way_int_count,2way_int_count,3way_int_count,4way_int_count,5way_int_count,0way_int_prop,1way_int_prop,2way_int_prop,3way_int_prop,4way_int_prop,5way_int_prop
"Tirana, Albania",6657,14277,4.289319513294276,1051280.4299999978,73.63454717377586,2.5105903560162237,4829,616092.0939999971,8269,74.5062394485424,1.057746543179592,0.0013302696819446124,166.37299052190565,120.68727222927481,26273.797358608164,15397.488976368113,0,1828,70,4298,454,7.0,0.0,0.27459816734264686,0.010515247108307046,0.6456361724500526,0.06819888838816283,0.0010515247108307045
"Durres, Albania",3523,8286,4.703945500993472,804217.552000001,97.05739222785432,2.5432869713312516,2585,436423.0109999996,4454,97.98451077682972,1.0494538333206533,0.001122586439155815,85.82485515214181,62.97395701626074,19591.783965713923,10631.831309718013,0,938,11,2298,274,2.0,0.0,0.26625035481124043,0.003122338915696849,0.6522849843883054,0.07777462390008516,0.0005676979846721544
"Elbasan, Albania",1654,4062,4.911729141475211,371970.123000001,91.57314697193526,2.6021765417170495,1241,191961.13700000016,2131,90.08030830595972,1.0658801075485822,0.0,83.15835507973847,62.393904869380556,18701.58619557925,9651.252957772875,0,413,1,1073,165,2.0,0.0,0.24969770253929868,0.0006045949214026602,0.6487303506650545,0.09975816203143893,0.0012091898428053204
"Shkoder, Albania",2031,4405,4.337764647956671,335608.41500000085,76.18806242905808,2.358936484490399,1349,181444.81999999975,2391,75.88658301965694,1.0486339911366238,0.000836470096194061,65.3847312779114,43.42885400979935,10804.365351738466,5841.3199396696145,0,682,5,1277,67,,0.0,0.3357951747907435,0.002461841457410143,0.6287543082225505,0.032988675529295915,
